Name,Agency,State,Unit_acres,Total_acres,year
Black Elk Wilderness,FS,SD,13534,13534,1980
Blue Range Wilderness,FS,NM,29106,29106,1980
Cache La Poudre Wilderness,FS,CO,9482,9482,1980
Capitan Mountains Wilderness,FS,NM,35091,35091,1980
Collegiate Peaks Wilderness,FS,CO,165864,165864,1980
Comanche Peak Wilderness,FS,CO,68025,68025,1980
Coronation Island Wilderness,FS,AK,19118,19118,1980
Cruces Basin Wilderness,FS,NM,18881,18881,1980
Denali Wilderness,NPS,AK,2146000,2146000,1980
Devils Backbone Wilderness,FS,MO,6691,6691,1980
Dome Wilderness,FS,NM,5185,5185,1980
Endicott River Wilderness,FS,AK,98396,98396,1980
Frank Church-River of No Return Wilderness,BLM,ID,802,2358940,1980
Frank Church-River of No Return Wilderness,FS,ID,2358138,2358940,1980
Gates of the Arctic Wilderness,NPS,AK,7154000,7154000,1980
Glacier Bay Wilderness,NPS,AK,2656000,2656000,1980
Hell Hole Bay Wilderness,FS,SC,2122,2122,1980
Holy Cross Wilderness,FS,CO,122446,122446,1980
Indian Peaks Wilderness,NPS,CO,2959,77932,1980
Innoko Wilderness,FWS,AK,1240000,1240000,1980
Izembek Wilderness,FWS,AK,307981.76,307981.76,1980
Jay S. Hammond Wilderness,NPS,AK,2592000,2592000,1980
Katmai Wilderness,NPS,AK,3323000,3323000,1980
Kenai Wilderness,FWS,AK,1354247,1354247,1980
Kisatchie Hills Wilderness,FS,LA,8701,8701,1980
Kobuk Valley Wilderness,NPS,AK,176000,176000,1980
Kootznoowoo Wilderness,FS,AK,989919,989919,1980
Koyukuk Wilderness,FWS,AK,400000,400000,1980
Latir Peak Wilderness,FS,NM,20420,20420,1980
Little Wambaw Swamp Wilderness,FS,SC,4967,4967,1980
Lizard Head Wilderness,FS,CO,41525,41525,1980
Lost Creek Wilderness,FS,CO,114864,114864,1980
Maurelle Islands Wilderness,FS,AK,4814,4814,1980
Misty Fjords National Monument Wilderness,FS,AK,2144010,2144010,1980
Mollie Beattie Wilderness,FWS,AK,8000000,8000000,1980
Mount Evans Wilderness,FS,CO,73459,73459,1980
Mount Massive Wilderness,FS,CO,26467,29027,1980
Mount Massive Wilderness,FWS,CO,2560,29027,1980
Mount Sneffels Wilderness,FS,CO,16485,16485,1980
Neota Wilderness,FS,CO,9927,9927,1980
Never Summer Wilderness,FS,CO,20847,20847,1980
Noatak Wilderness,NPS,AK,5814000,5814000,1980
Nunivak Wilderness,FWS,AK,600000,600000,1980
Otis Pike Fire Island High Dune Wilderness,NPS,NY,1380,1380,1980
Petersburg Creek-Duncan Salt Chuck Wilderness,FS,AK,46758,46758,1980
Piney Creek Wilderness,FS,MO,8184,8184,1980
Raggeds Wilderness,FS,CO,64304,64304,1980
Rattlesnake Wilderness,FS,MT,34304,34304,1980
Rockpile Mountain Wilderness,FS,MO,4236,4236,1980
Russell Fjord Wilderness,FS,AK,348626,348626,1980
Selawik Wilderness,FWS,AK,240000,240000,1980
Semidi Wilderness,FWS,AK,250000,250000,1980
South Baranof Wilderness,FS,AK,315833,315833,1980
South Prince of Wales Wilderness,FS,AK,86771,86771,1980
South San Juan Wilderness,FS,CO,160998,160998,1980
Stikine-LeConte Wilderness,FS,AK,436084,436084,1980
Tebenkof Bay Wilderness,FS,AK,66994,66994,1980
Togiak Wilderness,FWS,AK,2274066.27,2274066.27,1980
Tracy Arm-Fords Terror Wilderness,FS,AK,648883,648883,1980
Uncompahgre Wilderness,FS,CO,98824,102214,1980
Unimak Wilderness,FWS,AK,910000,910000,1980
Wambaw Creek Wilderness,FS,SC,1832,1832,1980
Wambaw Swamp Wilderness,FS,SC,4755,4755,1980
Warren Island Wilderness,FS,AK,11559,11559,1980
West Chichagof-Yakobi Wilderness,FS,AK,273098,273098,1980
Withington Wilderness,FS,NM,18827,18827,1980
Wrangell-Saint Elias Wilderness,NPS,AK,9432000,9432000,1980
Charles C. Deam Wilderness,FS,IN,12472,12472,1982
Cumberland Island Wilderness,NPS,GA,9907,9907,1982
Cheaha Wilderness,FS,AL,7400,7400,1983
Cranberry Wilderness,FS,WV,47742,47742,1983
Laurel Fork North Wilderness,FS,WV,6048,6048,1983
Laurel Fork South Wilderness,FS,WV,5840,5840,1983
